Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
34328664,"A Conspiracy of Truths (A Conspiracy of Truths, #1)",Alexandra Rowland,"Rowland, Alexandra",,1534412808,9781534412804,0,3.97,Saga Press,Hardcover,456,2018,2018,,11/17/2020,to-read,to-read (#50),to-read,,,,0,,,0,,,,,
18293427,The Storied Life of A.J. Fikry,Gabrielle Zevin,"Zevin, Gabrielle",,1616203218,9781616203214,4,3.99,Algonquin Books,Hardcover,260,2014,2014,11/7/2020,5/25/2020,,,read,,,,1,,,0,,,,,
52588652,The Chain,Adrian McKinty,"McKinty, Adrian",,0316531235,9780316531238,4,3.8,Mulholland Books,Paperback,368,2020,2019,11/6/2020,11/4/2020,,,read,,,,1,,,0,,,,,
25899336,When Breath Becomes Air,Paul Kalanithi,"Kalanithi, Paul",,,,4,4.36,Random House,Paperback,208,2016,2016,11/4/2020,7/18/2018,,,read,,,,1,,,0,,,,,
22055262,"A Darker Shade of Magic (Shades of Magic, #1)",V.E. Schwab,"Schwab, V.E.",,0765376458,9780765376459,0,4.06,Tor Books,Hardcover,400,2015,2015,,11/4/2020,to-read,to-read (#48),to-read,,,,0,,,0,,,,,
35959740,Circe,Madeline Miller,"Miller, Madeline",,0316556343,9780316556347,0,4.26,"Little, Brown and Company",Hardcover,393,2018,2018,,11/4/2020,to-read,to-read (#47),to-read,,,,0,,,0,,,,,
22816087,Seveneves,Neal Stephenson,"Stephenson, Neal",,,,0,3.98,William Morrow,Kindle Edition,880,2015,2015,,11/3/2020,to-read,to-read (#46),to-read,,,,0,,,0,,,,,
52668196,"Do Nothing: How to Break Away from Overworking, Overdoing, and Underliving",Celeste Headlee,"Headlee, Celeste",,1984824732,9781984824738,4,3.89,Harmony,Hardcover,288,2020,2020,11/3/2020,9/30/2020,,,read,,,,1,,,0,,,,,
28954189,"Scythe (Arc of a Scythe, #1)",Neal Shusterman,"Shusterman, Neal",,,,0,4.31,Simon Schuster Books for Young Readers,Hardcover,435,2016,2016,,9/14/2020,to-read,to-read (#34),to-read,,,,0,,,0,,,,,
676,Sailing Alone Around the Room: New and Selected Poems,Billy Collins,"Collins, Billy",,0375755195,9780375755194,3,4.23,Random House Trade Paperbacks,Paperback,172,2002,2001,10/28/2020,9/17/2020,,,read,,,,1,,,0,,,,,
1215032,"The Wise Man's Fear (The Kingkiller Chronicle, #2)",Patrick Rothfuss,"Rothfuss, Patrick",,0756404738,9780756404734,3,4.54,DAW Books,Hardcover,994,2011,2011,10/28/2020,9/24/2020,,,read,,,,1,,,0,,,,,
720298,Codependent No More: How to Stop Controlling Others and Start Caring for Yourself,Melody Beattie,"Beattie, Melody",,0894864025,9780894864025,4,4.13,Hazelden Publishing,Paperback,276,1986,1986,10/28/2020,10/23/2020,,,read,,,,1,,,0,,,,,
5113,Franny and Zooey,J.D. Salinger,"Salinger, J.D.",,0316769029,9780316769020,0,3.97,Back Bay Books,Paperback,201,2001,1955,,10/24/2020,to-read,to-read (#45),to-read,,,,0,,,0,,,,,
29036,The Great Influenza: The Story of the Deadliest Pandemic in History,John M. Barry,"Barry, John M.",,0143036491,9780143036494,3,3.98,Penguin Books,Paperback,546,2005,2004,10/19/2020,9/28/2020,,,read,,,,1,,,0,,,,,
49112005,The Doorstep Mile: Live More Adventurously Every Day,Alastair Humphreys,"Humphreys, Alastair",,,,0,3.8,,Kindle Edition,225,2019,,,10/19/2020,to-read,to-read (#43),to-read,,,,0,,,0,,,,,
16299,And Then There Were None,Agatha Christie,"Christie, Agatha",,0312330871,9780312330873,0,4.26,St. Martin's Press,Paperback,264,2004,1939,,8/13/2020,to-read,to-read (#33),to-read,,,,0,,,0,,,,,
29044,The Secret History,Donna Tartt,"Tartt, Donna",,1400031702,9781400031702,0,4.1,Vintage,Paperback,559,2004,1992,,9/24/2020,to-read,to-read (#37),to-read,,,,0,,,0,,,,,
816870,Johnny Tremain,Esther Forbes,"Forbes, Esther",Lynd Ward,,,3,3.65,Yearling,Paperback,322,1987,1943,,10/12/2020,,,read,,,,1,,,0,,,,,
368468,"Bud, Not Buddy",Christopher Paul Curtis,"Curtis, Christopher Paul",,0385323069,9780385323062,3,3.94,Delacorte Books for Young Readers,Hardcover,243,1999,1999,,10/12/2020,,,read,,,,1,,,0,,,,,
65954,Up a Road Slowly,Irene Hunt,"Hunt, Irene",,0425202054,9780425202050,4,4,Berkley,Paperback,197,2005,1966,,10/12/2020,,,read,,,,1,,,0,,,,,
10032672,The Language of Flowers,Vanessa Diffenbaugh,"Diffenbaugh, Vanessa",,034552554X,9780345525543,4,4.08,Ballantine Books,Hardcover,323,2011,2011,,10/12/2020,,,read,,,,1,,,0,,,,,
937020,A Lantern in Her Hand,Bess Streeter Aldrich,"Aldrich, Bess Streeter",,0140384286,9780140384284,4,4.14,Puffin Books,Paperback,251,1997,1928,,10/12/2020,,,read,,,,1,,,0,,,,,
